C2 d 3 Pi                                         


  RMIN = 0.750  MAXV   = 12  BE =    1.7527
  RMAX = 3.500  KDMAXV = 12  RE =    1.2664
  DELR = 0.005  NEIG   =  0  DE =48627.3008
  ZMU  = 6.000
 Debugging
 C2 d 3 Pi                                                    0           1           0           0           2   6.00000000      0.750000000       3.50000000       4.99999989E-03          12   1.75269997       48627.3008              12           0
   0.00000000       890.000000       2645.34009       4367.79980       6057.37988       7714.08008       9337.90039       10928.7998       12486.9004       14012.0996       15504.4004       16963.8008       18390.3008       19784.0000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       1.75269997       1.74466002       1.72858000       1.71249998       1.69641995       1.68034005       1.66426003       1.64818001       1.63209999       1.61601996       1.59993994       1.58386004       1.56778002       1.55170000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.045 TO   1.665 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         3.3900           56073.188         3.3950           56089.754         3.4000           56106.148
         3.4050           56122.383         3.4100           56138.457         3.4150           56154.363
         3.4200           56170.113         3.4250           56185.707         3.4300           56201.137
         3.4350           56216.418         3.4400           56231.551         3.4450           56246.520
1
         3.4500           56261.344         3.4550           56276.020         3.4600           56290.555
         3.4650           56304.934         3.4700           56319.168         3.4750           56333.266
         3.4800           56347.215         3.4850           56361.027         3.4900           56374.703
         3.4950           56388.242         3.5000           56401.637
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V) (CALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX
   -1   1.6325         1.6325      0.0000              0.0000        0.0000      0.0000      1.3122      1.3122
    0   1.6242         1.6242      0.0000            817.7109      817.7570     -0.0461      1.2570      1.3744
    1   1.6076         1.6076      0.0000           2435.5898     2435.7700     -0.1802      1.2206      1.4251
    2   1.5909         1.5909      0.0000           4030.1719     4030.4399     -0.2681      1.1972      1.4629
    3   1.5743         1.5743      0.0000           5601.4062     5601.7700     -0.3638      1.1793      1.4956
    4   1.5577         1.5577      0.0000           7149.3047     7149.7598     -0.4551      1.1644      1.5253
    5   1.5411         1.5411      0.0000           8673.8633     8674.4102     -0.5469      1.1516      1.5532
    6   1.5245         1.5245      0.0000          10175.0664    10175.7002     -0.6338      1.1404      1.5797
    7   1.5079         1.5079      0.0000          11652.9375    11653.7002     -0.7627      1.1303      1.6053
    8   1.4913         1.4913      0.0000          13107.4922    13108.2998     -0.8076      1.1211      1.6301
    9   1.4746         1.4747     -0.0001          14538.7617    14539.5996     -0.8379      1.1128      1.6545
   10   1.4579         1.4581     -0.0001          15946.7891    15947.5996     -0.8105      1.1050      1.6784
   11   1.4411         1.4414     -0.0003          17331.6523    17332.1992     -0.5469      1.0978      1.7020
   12   1.4242         1.4248     -0.0006          18693.3672    18693.4004     -0.0332      1.0911      1.7254
  NOISE FACTOR HAS MAXIMUM VALUE OF   0.56E-11
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 0   0   0.7237671E+00            0.1293910E+01
                                 0   1   0.2201852E+00            0.1225120E+01
                                 0   2   0.4591514E-01            0.1168013E+01
                                 0   3   0.8348766E-02            0.1118816E+01
                                 0   4   0.1460621E-02            0.1077045E+01
                                 0   5   0.2605901E-03            0.1043288E+01
                                 0   6   0.4928558E-04            0.1018059E+01
                                 0   7   0.1011865E-04            0.1000934E+01
                                 0   8   0.2278166E-05            0.9903407E+00
                                 0   9   0.5623357E-06            0.9841766E+00
                                 0  10   0.1510444E-06            0.9805222E+00
                                 0  11   0.4367251E-07            0.9777185E+00
                                 0  12   0.1337969E-07            0.9742838E+00
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 1   0   0.2456609E+00            0.1368532E+01
                                 1   1   0.3303354E+00            0.1306381E+01
                                 1   2   0.2883877E+00            0.1233372E+01
                                 1   3   0.1015892E+00            0.1175809E+01
                                 1   4   0.2629940E-01            0.1126653E+01
                                 1   5   0.6007980E-02            0.1084814E+01
                                 1   6   0.1325641E-02            0.1050587E+01
                                 1   7   0.2983337E-03            0.1024422E+01
                                 1   8   0.7080020E-04            0.1006080E+01
                                 1   9   0.1801992E-04            0.9942436E+00
                                 1  10   0.4939620E-05            0.9869128E+00
                                 1  11   0.1452854E-05            0.9820729E+00
                                 1  12   0.4554002E-06            0.9782852E+00
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 2   0   0.2913798E-01            0.1459393E+01
                                 2   1   0.3690497E+00            0.1377081E+01
                                 2   2   0.1163909E+00            0.1325104E+01
                                 2   3   0.2691199E+00            0.1242027E+01
                                 2   4   0.1457374E+00            0.1183580E+01
                                 2   5   0.5071320E-01            0.1134365E+01
                                 2   6   0.1457011E-01            0.1092481E+01
                                 2   7   0.3873961E-02            0.1057888E+01
                                 2   8   0.1017972E-02            0.1030904E+01
                                 2   9   0.2752218E-03            0.1011377E+01
                                 2  10   0.7828944E-04            0.9982675E+00
                                 2  11   0.2364227E-04            0.9898359E+00
                                 2  12   0.7583156E-05            0.9842606E+00
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 3   0   0.1414848E-02            0.1579042E+01
                                 3   1   0.7525847E-01            0.1467881E+01
                                 3   2   0.4083810E+00            0.1386013E+01
                                 3   3   0.2167723E-01            0.1370960E+01
                                 3   4   0.2088171E+00            0.1251465E+01
                                 3   5   0.1687840E+00            0.1191410E+01
                                 3   6   0.7648692E-01            0.1141988E+01
                                 3   7   0.2697124E-01            0.1100038E+01
                                 3   8   0.8484586E-02            0.1065143E+01
                                 3   9   0.2567588E-02            0.1037461E+01
                                 3  10   0.7825673E-03            0.1016886E+01
                                 3  11   0.2467727E-03            0.1002601E+01
                                 3  12   0.8157000E-04            0.9931231E+00
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 4   0   0.1997451E-04            0.1812817E+01
                                 4   1   0.5087865E-02            0.1589720E+01
                                 4   2   0.1292717E+00            0.1476373E+01
                                 4   3   0.3936593E+00            0.1395540E+01
                                 4   4   0.1011109E-03            0.2912613E+00
                                 4   5   0.1384558E+00            0.1262452E+01
                                 4   6   0.1694780E+00            0.1199426E+01
                                 4   7   0.9845329E-01            0.1149563E+01
                                 4   8   0.4194086E-01            0.1107502E+01
                                 4   9   0.1540744E-01            0.1072355E+01
                                 4  10   0.5314477E-02            0.1044091E+01
                                 4  11   0.1811254E-02            0.1022588E+01
                                 4  12   0.6290554E-03            0.1007202E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 5   0   0.2446925E-08           -0.2808719E+01
                                 5   1   0.8580826E-04            0.1837867E+01
                                 5   2   0.1143354E-01            0.1600363E+01
                                 5   3   0.1846237E+00            0.1484908E+01
                                 5   4   0.3476676E+00            0.1405978E+01
                                 5   5   0.1793126E-01            0.1237589E+01
                                 5   6   0.7652511E-01            0.1276788E+01
                                 5   7   0.1518000E+00            0.1207822E+01
                                 5   8   0.1126719E+00            0.1157161E+01
                                 5   9   0.5743124E-01            0.1114906E+01
                                 5  10   0.2440963E-01            0.1079520E+01
                                 5  11   0.9522008E-02            0.1050761E+01
                                 5  12   0.3606447E-02            0.1028465E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 6   0   0.5895548E-08            0.1636736E+01
                                 6   1   0.6018129E-07           -0.4922079E+00
                                 6   2   0.2193726E-03            0.1865138E+01
                                 6   3   0.2054595E-01            0.1611021E+01
                                 6   4   0.2368881E+00            0.1493524E+01
                                 6   5   0.2870177E+00            0.1417808E+01
                                 6   6   0.5182350E-01            0.1275051E+01
                                 6   7   0.3201523E-01            0.1299903E+01
                                 6   8   0.1223022E+00            0.1216936E+01
                                 6   9   0.1170676E+00            0.1164868E+01
                                 6  10   0.7109033E-01            0.1122289E+01
                                 6  11   0.3473931E-01            0.1086659E+01
                                 6  12   0.1523654E-01            0.1057465E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 7   0   0.2865574E-12           -0.8754503E+01
                                 7   1   0.4425539E-07            0.1678617E+01
                                 7   2   0.4820699E-06            0.2787849E+00
                                 7   3   0.4322056E-03            0.1894929E+01
                                 7   4   0.3229685E-01            0.1621713E+01
                                 7   5   0.2833209E+00            0.1502274E+01
                                 7   6   0.2232214E+00            0.1431786E+01
                                 7   7   0.8680949E-01            0.1291220E+01
                                 7   8   0.7187384E-02            0.1359396E+01
                                 7   9   0.8807804E-01            0.1227410E+01
                                 7  10   0.1115595E+00            0.1172827E+01
                                 7  11   0.8076842E-01            0.1129708E+01
                                 7  12   0.4521838E-01            0.1093804E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 8   0   0.5929238E-12            0.2135017E+01
                                 8   1   0.1103198E-10           -0.3100929E+01
                                 8   2   0.1816085E-06            0.1726108E+01
                                 8   3   0.2279117E-05            0.6604709E+00
                                 8   4   0.7216942E-03            0.1927986E+01
                                 8   5   0.4641407E-01            0.1632452E+01
                                 8   6   0.3224994E+00            0.1511230E+01
                                 8   7   0.1637248E+00            0.1449139E+01
                                 8   8   0.1143671E+00            0.1301598E+01
                                 8   9   0.3184666E-05           -0.3581495E+01
                                 8  10   0.5535048E-01            0.1240590E+01
                                 8  11   0.9778066E-01            0.1181270E+01
                                 8  12   0.8495709E-01            0.1137244E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 9   0   0.4984228E-13            0.9176320E+00
                                 9   1   0.2828586E-10            0.1752610E+01
                                 9   2   0.2661463E-09           -0.4633393E+00
                                 9   3   0.5448443E-06            0.1775140E+01
                                 9   4   0.7860113E-05            0.8900222E+00
                                 9   5   0.1069720E-02            0.1965235E+01
                                 9   6   0.6252125E-01            0.1643287E+01
                                 9   7   0.3540090E+00            0.1520486E+01
                                 9   8   0.1128427E+00            0.1471969E+01
                                 9   9   0.1307164E+00            0.1309441E+01
                                 9  10   0.6082976E-02            0.1157750E+01
                                 9  11   0.2866172E-01            0.1259841E+01
                                 9  12   0.7854118E-01            0.1190580E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                10   0   0.5415144E-12            0.1281961E+01
                                10   1   0.3142263E-12            0.5562963E+00
                                10   2   0.1819960E-09            0.1810075E+01
                                10   3   0.2841715E-08            0.4320831E+00
                                10   4   0.1317715E-05            0.1828794E+01
                                10   5   0.2211363E-04            0.1048157E+01
                                10   6   0.1439031E-02            0.2008626E+01
                                10   7   0.8013392E-01            0.1654331E+01
                                10   8   0.3781926E+00            0.1530165E+01
                                10   9   0.7250699E-01            0.1504008E+01
                                10  10   0.1354135E+00            0.1315843E+01
                                10  11   0.2018906E-01            0.1213201E+01
                                10  12   0.1053749E-01            0.1296745E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                11   0   0.1350030E-12            0.1281041E+01
                                11   1   0.1591325E-12            0.1166339E+01
                                11   2   0.3514486E-12           -0.5773424E-01
                                11   3   0.6925102E-09            0.1908702E+01
                                11   4   0.1613977E-07            0.7969618E+00
                                11   5   0.2733791E-05            0.1887733E+01
                                11   6   0.5390257E-04            0.1167378E+01
                                11   7   0.1772808E-02            0.2061320E+01
                                11   8   0.9867088E-01            0.1665728E+01
                                11   9   0.3960034E+00            0.1540415E+01
                                11  10   0.4288526E-01            0.1552326E+01
                                11  11   0.1301152E+00            0.1321209E+01
                                11  12   0.3734069E-01            0.1234811E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                12   0   0.5514472E-13            0.1329550E+01
                                12   1   0.1296587E-14            0.2082889E+01
                                12   2   0.3363916E-12            0.1772810E+01
                                12   3   0.1114818E-10            0.1069796E+01
                                12   4   0.1685598E-08            0.2071674E+01
                                12   5   0.6557437E-07            0.1009516E+01
                                12   6   0.4950935E-05            0.1956255E+01
                                12   7   0.1173416E-03            0.1262502E+01
                                12   8   0.2000390E-02            0.2128346E+01
                                12   9   0.1174401E+00            0.1677689E+01
                                12  10   0.4088993E+00            0.1551400E+01
                                12  11   0.2293380E-01            0.1631278E+01
                                12  12   0.1175608E+00            0.1325601E+01
1R-CENTROID TABLE 

   1.294 1.225 1.168 1.119 1.077 1.043 1.018 1.001 0.990 0.984 0.981 0.978 0.974
   1.369 1.306 1.233 1.176 1.127 1.085 1.051 1.024 1.006 0.994 0.987 0.982 0.978
   1.459 1.377 1.325 1.242 1.184 1.134 1.092 1.058 1.031 1.011 0.998 0.990 0.984
   1.579 1.468 1.386 1.371 1.251 1.191 1.142 1.100 1.065 1.037 1.017 1.003 0.993
   1.813 1.590 1.476 1.396 0.291 1.262 1.199 1.150 1.108 1.072 1.044 1.023 1.007
  -2.809 1.838 1.600 1.485 1.406 1.238 1.277 1.208 1.157 1.115 1.080 1.051 1.028
   1.637-0.492 1.865 1.611 1.494 1.418 1.275 1.300 1.217 1.165 1.122 1.087 1.057
  -8.755 1.679 0.279 1.895 1.622 1.502 1.432 1.291 1.359 1.227 1.173 1.130 1.094
   2.135-3.101 1.726 0.660 1.928 1.632 1.511 1.449 1.302-3.581 1.241 1.181 1.137
   0.918 1.753-0.463 1.775 0.890 1.965 1.643 1.520 1.472 1.309 1.158 1.260 1.191
   1.282 0.556 1.810 0.432 1.829 1.048 2.009 1.654 1.530 1.504 1.316 1.213 1.297
   1.281 1.166-0.058 1.909 0.797 1.888 1.167 2.061 1.666 1.540 1.552 1.321 1.235
   1.330 2.083 1.773 1.070 2.072 1.010 1.956 1.263 2.128 1.678 1.551 1.631 1.326
1 FRANCK CONDON FACTOR TABLE  

    7.24E-01 2.20E-01 4.59E-02 8.35E-03 1.46E-03 2.61E-04 4.93E-05 1.01E-05 2.28E-06 5.62E-07 1.51E-07 4.37E-08 1.34E-08
    2.46E-01 3.30E-01 2.88E-01 1.02E-01 2.63E-02 6.01E-03 1.33E-03 2.98E-04 7.08E-05 1.80E-05 4.94E-06 1.45E-06 4.55E-07
    2.91E-02 3.69E-01 1.16E-01 2.69E-01 1.46E-01 5.07E-02 1.46E-02 3.87E-03 1.02E-03 2.75E-04 7.83E-05 2.36E-05 7.58E-06
    1.41E-03 7.53E-02 4.08E-01 2.17E-02 2.09E-01 1.69E-01 7.65E-02 2.70E-02 8.48E-03 2.57E-03 7.83E-04 2.47E-04 8.16E-05
    2.00E-05 5.09E-03 1.29E-01 3.94E-01 1.01E-04 1.38E-01 1.69E-01 9.85E-02 4.19E-02 1.54E-02 5.31E-03 1.81E-03 6.29E-04
    2.45E-09 8.58E-05 1.14E-02 1.85E-01 3.48E-01 1.79E-02 7.65E-02 1.52E-01 1.13E-01 5.74E-02 2.44E-02 9.52E-03 3.61E-03
    5.90E-09 6.02E-08 2.19E-04 2.05E-02 2.37E-01 2.87E-01 5.18E-02 3.20E-02 1.22E-01 1.17E-01 7.11E-02 3.47E-02 1.52E-02
    2.87E-13 4.43E-08 4.82E-07 4.32E-04 3.23E-02 2.83E-01 2.23E-01 8.68E-02 7.19E-03 8.81E-02 1.12E-01 8.08E-02 4.52E-02
    5.93E-13 1.10E-11 1.82E-07 2.28E-06 7.22E-04 4.64E-02 3.22E-01 1.64E-01 1.14E-01 3.18E-06 5.54E-02 9.78E-02 8.50E-02
    4.98E-14 2.83E-11 2.66E-10 5.45E-07 7.86E-06 1.07E-03 6.25E-02 3.54E-01 1.13E-01 1.31E-01 6.08E-03 2.87E-02 7.85E-02
    5.42E-13 3.14E-13 1.82E-10 2.84E-09 1.32E-06 2.21E-05 1.44E-03 8.01E-02 3.78E-01 7.25E-02 1.35E-01 2.02E-02 1.05E-02
    1.35E-13 1.59E-13 3.51E-13 6.93E-10 1.61E-08 2.73E-06 5.39E-05 1.77E-03 9.87E-02 3.96E-01 4.29E-02 1.30E-01 3.73E-02
    5.51E-14 1.30E-15 3.36E-13 1.11E-11 1.69E-09 6.56E-08 4.95E-06 1.17E-04 2.00E-03 1.17E-01 4.09E-01 2.29E-02 1.18E-01
1
 V'=   0 SUM OF FCF'S FOR V''=0, 12 IS  9.9999988E-01
 V'=   1 SUM OF FCF'S FOR V''=0, 12 IS  1.0000001E+00
 V'=   2 SUM OF FCF'S FOR V''=0, 12 IS  9.9999571E-01
 V'=   3 SUM OF FCF'S FOR V''=0, 12 IS  9.9995399E-01
 V'=   4 SUM OF FCF'S FOR V''=0, 12 IS  9.9963015E-01
 V'=   5 SUM OF FCF'S FOR V''=0, 12 IS  9.9770826E-01
 V'=   6 SUM OF FCF'S FOR V''=0, 12 IS  9.8894590E-01
 V'=   7 SUM OF FCF'S FOR V''=0, 12 IS  9.5889300E-01
 V'=   8 SUM OF FCF'S FOR V''=0, 12 IS  8.8582087E-01
 V'=   9 SUM OF FCF'S FOR V''=0, 12 IS  7.7445334E-01
 V'=  10 SUM OF FCF'S FOR V''=0, 12 IS  6.9843596E-01
 V'=  11 SUM OF FCF'S FOR V''=0, 12 IS  7.0684481E-01
 V'=  12 SUM OF FCF'S FOR V''=0, 12 IS  6.6895670E-01
 V""=  0 SUM OF FCF"S FOR V"=0, 12 IS  1.0000007E+00
 V""=  1 SUM OF FCF"S FOR V"=0, 12 IS  1.0000026E+00
 V""=  2 SUM OF FCF"S FOR V"=0, 12 IS  1.0000000E+00
 V""=  3 SUM OF FCF"S FOR V"=0, 12 IS  9.9999905E-01
 V""=  4 SUM OF FCF"S FOR V"=0, 12 IS  9.9999911E-01
 V""=  5 SUM OF FCF"S FOR V"=0, 12 IS  1.0000001E+00
 V""=  6 SUM OF FCF"S FOR V"=0, 12 IS  9.9999845E-01
 V""=  7 SUM OF FCF"S FOR V"=0, 12 IS  9.9998951E-01
 V""=  8 SUM OF FCF"S FOR V"=0, 12 IS  9.9975169E-01
 V""=  9 SUM OF FCF"S FOR V"=0, 12 IS  9.9751574E-01
 V""= 10 SUM OF FCF"S FOR V"=0, 12 IS  8.6187136E-01
 V""= 11 SUM OF FCF"S FOR V"=0, 12 IS  4.2679331E-01
 V""= 12 SUM OF FCF"S FOR V"=0, 12 IS  3.9371726E-01
